"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
001-062-01,Y,3720 KINGS ROW ,01/17/2013,1580000,1MGA,4195895,_UNSPECIFIED,1978,1978,Multiple Res (Low Rise),2.00,4500,Low,12,6,0,WARM/COOL,STUD-HRDBD,,,0,,0,340,NC,0.4789944887161255,XIANG TIAN LLC KING ROW SERIES,NO,985 DAMONTE RANCH PKWY #210,C/O JOSH VILLALOBOS,RENO,NV,89521,"SIMON, RICHARD P",   -   -,PM 532 LT 1,1000,12,MMMM
001-062-02,,3710 KINGS ROW ,01/17/2013,1580000,1MGA,4195895,_UNSPECIFIED,1978,1978,Multiple Res (Low Rise),2.00,4500,Low,12,6,0,WARM/COOL,STUD-HRDBD,,,0,,0,330,NC,0.2180899977684021,XIANG TIAN LLC KING ROW SERIES,NO,985 DAMONTE RANCH PKWY #210,C/O JOSH VILLALOBOS,RENO,NV,89521,"SIMON, RICHARD P",   -   -,PM 532 LT 2,1000,6,MMMM
001-062-03,,3700 KINGS ROW ,01/17/2013,1580000,1MGA,4195895,_UNSPECIFIED,1978,1978,Multiple Res (Low Rise),2.00,4500,Low,12,6,0,WARM/COOL,STUD-HRDBD,,,0,,0,330,NC,0.3059687912464142,XIANG TIAN LLC KING ROW SERIES,NO,985 DAMONTE RANCH PKWY #210,C/O JOSH VILLALOBOS,RENO,NV,89521,"SIMON, RICHARD P",   -   -,PM 532 LT 3,1000,6,MMMM
001-072-05,,3450 BALBOA DR,08/07/2013,89000,2D  ,4266688,SIERRA VISTA VILLAS OF RENO 2,1978,1978,Townhse End,TWO STORY,1352,Fair-Average,2,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,440,,0,210,MF14,0.041460055857896805,"TSOURIS, GEORGE E & TAMARA",NO,72 BURNS ST,,RENO,NV,89502,"ANTONOPOULOU, MARIA",   -   -,SIERRA VISTA VILLAS OF RENO 2 LT 5 BLK 2,1000,1,BABA
001-072-09,,3505 ROSALINDA DR,01/30/2013,75000,2D  ,4200245,SIERRA VISTA VILLAS OF RENO 2,1978,1978,Townhse Ins,TWO STORY,1050,Fair-Average,2,1,1,FA/AC,HARDBOARD/FR,COMP SHINGLE,ATTACHED,480,,0,210,MF14,0.03921028599143028,"NEILON, MICHAEL ",NO,845 CEDARWOOD CT,,MINDEN,NV,89423,"WU, JUN JIE",   -   -,SIERRA VISTA VILLAS OF RENO 2 LT 9 BLK 2,1000,1,BABA
001-073-01,,3490 ROSALINDA DR,06/13/2013,125000,2F  ,4247255,SIERRA VISTA VILLAS OF RENO 2,1978,1978,Townhse End,TWO STORY,1236,Fair-Average,3,2,1,FA/AC,HARDBOARD/FR,COMP SHINGLE,ATTACHED,440,,0,210,MF14,0.04051882401108742,"BURNS, THOMAS J & SHELLY L",NO,10212 IMPERIAL POINT AVE,,LAS VEGAS,NV,89134,"SILVER LIEGE DEVELOPMENT LLC, ",   -   -,SIERRA VISTA VILLAS OF RENO 2 LT 1 BLK 3,1000,1,BABA
001-073-14,,3340 ROSALINDA DR,06/13/2013,80000,2D  ,4247152,SIERRA VISTA VILLAS OF RENO 2,1978,1978,Townhse Ins,TWO STORY,1236,Fair-Average,3,2,1,FA/AC,HARDBOARD/FR,COMP SHINGLE,ATTACHED,440,,0,210,MF14,0.041460055857896805,"SWANSON, ROBERT S & JEANNINE ",NO,958 HERR WAY,,AUBURN ,CA,95603,"RIVAS, ARNOLD D JR & DAYLA G",   -   -,SIERRA VISTA VILLAS OF RENO 2 LT 14 BLK 3,1000,1,BABA
001-081-09,,3755 CHRISTOPHER CIR,10/24/2013,85000,2D  ,4292733,SIERRA VISTA VILLAS OF RENO 1,1972,1972,Townhse Ins,TWO STORY,960,Fair-Average,2,1,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,504,,0,210,MF14,0.036317721009254456,"EWING, STEPHEN E & SHEREE L ",NO,3755 CHRISTOPHER CIR,,RENO,NV,89503,"EWING, STEPHEN E & SHEREE L",   -   -,SIERRA VISTA VILLAS OF RENO 1 LT 9 BLK 1,1000,1,BABA
001-083-06,,3640 ROSALINDA DR,12/31/2013,137900,2D  ,4313284,SIERRA VISTA VILLAS OF RENO 1,1972,1972,Townhse Ins,TWO STORY,1554,Fair-Average,3,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,483,,0,210,MF14,0.04274563863873482,"ABATINO, JON N",NO,3640 ROSALINDA DR,,RENO,NV,89503,"MOBERLY, LISA M",   -   -,SIERRA VISTA VILLAS OF RENO 1 LT 6 BLK 3,1000,1,BABA
001-091-05,,3381 BRYAN ST,01/15/2013,85000,2D  ,4195051,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SINGLE STORY,988,Fair,3,2,0,FA,STUCCO/FR,COMP SHINGLE,ATTACHED,504,,0,200,SF6,0.17699724435806274,"BAUMB, NELLY A ",NO,7874 GUERRA CT,,SPARKS,NV,89436,"FIELD, JENNIFER A",   -   -,SIERRA HEIGHTS RENO 5A LT 5 BLK B,1000,1,BCAC
001-092-07,,3340 BRYAN ST,11/19/2013,137509,2D  ,4301458,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SINGLE STORY,1354,Fair,3,2,0,FA,ASPH SHNG/FR,COMP SHINGLE,ATTACHED,420,,0,200,SF6,0.150665745139122,"WILLIAMSON, MEGAN",NO,3340 BRYAN ST,,RENO,NV,89503,"CALAGUAS TRUST, JOJO S",   -   -,SIERRA HEIGHTS RENO 5A LT 16 BLK D,1000,1,BCAC
001-101-02,,2810 SEVERN DR,04/04/2013,190000,2D  ,4222626,_UNSPECIFIED,1980,1980,Sgl Fam Res ,TWO STORY,1828,Fair-Average,4,2,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,ATTACHED,469,,0,200,SF6,0.14830119907855988,"COOK, DAVE E",NO,2810 SEVERN DR,,RENO,NV,89503,"NORTHERN NEVADA CAPITAL LLC, ",   -   -,PM 460 LT 2,1000,1,BCAC
001-101-02,,2810 SEVERN DR,10/14/2013,210000,2D  ,4289195,_UNSPECIFIED,1980,1980,Sgl Fam Res ,TWO STORY,1828,Fair-Average,4,2,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,ATTACHED,469,,0,200,SF6,0.14830119907855988,"COOK, DAVE E",NO,2810 SEVERN DR,,RENO,NV,89503,"NORTHERN NEVADA CAPITAL LLC, ",   -   -,PM 460 LT 2,1000,1,BCAC
001-102-06,,2915 SEVERN DR,03/18/2013,132000,2D  ,4215999,SUNBURST,1983,1983,Sgl Fam Res ,SINGLE STORY,1168,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,,0,,0,200,SF6,0.11563360691070557,"WEBB, BRADLEY M et al",YES,2915 SEVERN DR,,RENO,NV,89503,"GRADY-JOHNSON 2010 TRUST, ",   -   -,SUNBURST LT 27 BLK B,1000,1,BCAC
001-103-03,,2945 HARDING CIR,06/28/2013,145000,2D  ,4253072,SUNBURST,1983,1983,Sgl Fam Res ,SINGLE STORY,1168,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,480,,0,200,SF6,0.12272727489471436,"FELDMAN TRUST, LINDA",YES,4541 FELTON ST #7,,SAN DIEGO,CA,92116,"FELDMAN, LINDA C",   -   -,SUNBURST LT 10 BLK A,1000,1,BCAC
001-103-07,,2505 SUNRAY DR,06/12/2013,166000,2D  ,4246608,SUNBURST,1983,1983,Sgl Fam Res ,SINGLE STORY,1168,Fair,3,2,0,FA,SIDING/FR,COMP SHINGLE,ATTACHED,480,,0,200,SF6,0.13181817531585693,WAHL FAMILY TRUST,YES,PO BOX 8012,,MAMMOTH LAKES,CA,93546,"LEHTO, GARY W & FERN A",   -   -,SUNBURST LT 14 BLK A,1000,1,BCAC
001-105-02,,2810 HARDING WAY,11/07/2013,184000,2D  ,4297502,SUNBURST,1983,1983,Sgl Fam Res ,SINGLE STORY,1072,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,480,,0,200,SF6,0.13138200342655182,"PIERSON, ALEX W & ELIZABETH H",NO,2810 HARDING WAY,,RENO,NV,89503,"ELLIS, JOHN J & NANCY J",   -   -,SUNBURST LT 34 BLK D,1000,1,BCAC
001-111-02,,2710 SEVERN DR,06/20/2013,135000,2D  ,4249699,SEVERN HEIGHTS 1,1973,1973,Sgl Fam Res ,SINGLE STORY,1320,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,528,,0,200,SF6,0.18599632382392883,"SEELYE, IRENE M",NO,2710 SEVERN DR,,RENO,NV,89503,"MCMONIGLE, MICHAEL",   -   -,SEVERN HEIGHTS 1 LT 2,1000,1,BCAC
001-112-05,,2745 SEVERN DR,10/09/2013,190000,2D  ,4288055,SEVERN HEIGHTS 1,1973,1973,Sgl Fam Res ,SINGLE STORY,1240,Fair,3,2,0,FA,SIDING/FR,COMP SHINGLE,ATTACHED,528,,0,200,SF6,0.1480027586221695,"CRUZ, IAN S",NO,2745 SEVERN DR,,RENO,NV,89503,"ACHEY, NICOLE E",   -   -,SEVERN HEIGHTS 1 LT 14,1000,1,BCAC
001-122-01,,2950 GLENVIEW DR,02/25/2013,209500,2D  ,4208478,KING`S VIEW ESTATES 1,1992,1992,Sgl Fam Res ,TWO STORY,1837,Fair-Average,4,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,400,,0,200,SF6,0.1584022045135498,"JANSEN, FRANK L & MELINDA A ",NO,PO BOX 1621,,CARNELIAN BAY,CA,96140,"MCCLINTOCK, CHRISTOPHER",   -   -,KINGS VIEW EST 1 LT 8 BLK C,1000,1,BAFC
001-122-02,,2954 GLENVIEW DR,02/26/2013,180000,2D  ,4208856,KING`S VIEW ESTATES 1,1992,1992,Sgl Fam Res ,TWO STORY,1837,Fair-Average,4,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,400,,0,200,SF6,0.1584022045135498,"GAMBLE, BONITA",NO,2954 GLENVIEW DR,,RENO,NV,89503,"NRES NV-1 LLC, ",   -   -,KINGS VIEW EST 1 LT 7 BLK C,1000,1,BAFC
001-122-02,,2954 GLENVIEW DR,06/13/2013,231000,2D  ,4247277,KING`S VIEW ESTATES 1,1992,1992,Sgl Fam Res ,TWO STORY,1837,Fair-Average,4,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,400,,0,200,SF6,0.1584022045135498,"GAMBLE, BONITA",NO,2954 GLENVIEW DR,,RENO,NV,89503,"NRES NV-1 LLC, ",   -   -,KINGS VIEW EST 1 LT 7 BLK C,1000,1,BAFC
001-122-03,,2958 GLENVIEW DR,10/24/2013,235000,2D  ,4292968,KING`S VIEW ESTATES 1,1992,1992,Sgl Fam Res ,TWO STORY,2178,Fair-Average,3,2,1,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,618,,0,200,SF6,0.1874426007270813,"HARRISON, BRIAN K et al",YES,2958 GLENVIEW DR,,RENO,NV,89503,"CONLEY, ROBERT V",   -   -,KINGS VIEW EST 1 LT 6 BLK C,1000,1,BAFC
001-122-10,,2991 ASPENDALE DR,05/30/2013,223500,2D  ,4242295,KING`S VIEW ESTATES 2,1994,1994,Sgl Fam Res ,TWO STORY,1837,Fair-Average,4,2,1,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,600,,0,200,SF6,0.2399219423532486,"HARDING, MICHAEL J ",NO,2991 ASPENDALE DR,,RENO,NV,89503,"BARTOO, ROBERT N JR & DORIS A",001-010-49,KINGS VIEW EST 2 LT 34 BLK C,1000,1,BAFC
001-122-14,,2971 ASPENDALE DR,08/09/2013,299000,2D  ,4267633,KING`S VIEW ESTATES 2,1994,1994,Sgl Fam Res ,TWO STORY,2496,Fair-Average,5,3,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,440,,0,200,SF6,0.1818181872367859,"NICOLAI, AMY & CHRISTOPHER",NO,2971 ASPENDALE DR,,RENO,NV,89503,"WALLACE, JOSEPH W",001-010-49,KINGS VIEW EST 2 LT 38 BLK C,1000,1,BAFC
001-123-10,,3967 REGAL DR,08/01/2013,225000,2D  ,4264553,KING`S VIEW ESTATES 1,1992,1992,Sgl Fam Res ,TWO STORY,2178,Fair-Average,3,2,1,FA,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,418,,0,200,SF6,0.1946510523557663,"AHUJA, ASHLEY S",NO,3693 KINGS ROW,,RENO,NV,89503,"CARICO, MONA L",   -   -,KINGS VIEW EST 1 LT 20 BLK A,1000,1,BAFC
001-123-37,,2993 REGAL CT,09/23/2013,266500,2D  ,4282528,KING`S VIEW ESTATES 1,1991,1991,Sgl Fam Res ,TWO STORY,2178,Fair-Average,3,2,1,FA,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,418,,0,200,SF6,0.2858585715293884,"LANE, KAILI A",NO,2993 REGAL CT,,RENO,NV,89503,"LANE, KAILI A",001-123-36,KINGS VIEW EST 1 LT 11 BLK A (RS 3433),1000,1,BAFC
001-123-43,,2969 REGAL CT,08/15/2013,338000,2D  ,4269518,KING`S VIEW ESTATES 1,1991,1991,Sgl Fam Res ,TWO STORY,2496,Fair-Average,5,3,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,440,,0,200,SF6,0.24345730245113373,"FEIL-SEIFER, DAVID J et al",YES,2969 REGAL CT,,RENO,NV,89503,"MANSON, JAMES A & CYNTHIA L",001-123-36,KINGS VIEW EST 1 LT 5 BLK A (RS 3433),1000,1,BAFC
001-131-06,,1451 EBBETTS DR,03/01/2013,183500,2D  ,4210881,SIERRA HEIGHTS RENO 5A,1965,1968,Sgl Fam Res ,SPLIT LEVEL,2311,Fair,4,2,1,FA,SIDING/FR,COMP SHINGLE,ATTACHED,277,,0,200,SF6,0.14692378044128418,"WOOD, SCOTT & DEBORAH",NO,8651 GLEN ARBOR RD,,BEN LOMOND,CA,95005,"GARRISON FAMILY TRUST, B J",   -   -,SIERRA HEIGHTS RENO  5A LT 6 BLK C,1000,1,BCAC
001-132-01,,1400 EBBETTS DR,08/15/2013,145550,2D  ,4269433,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,SINGLE STORY,1237,Fair,3,2,0,FA,ASPH SHNG/FR,COMP SHINGLE,ATTACHED,432,,0,200,SF6,0.14921946823596954,TAH 2015-1 BORROWER LLC,NO,PO BOX 6660,,FOLSOM,CA,95763,TAH 2015-1 EQUITY OWNER LLC,   -   -,SIERRA HEIGHTS RENO 5A LT 1 BLK D,1000,1,BCAC
001-132-16,,1461 SURF WAY,03/15/2013,118900,2D  ,4215602,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,SINGLE STORY,1296,Fair,4,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,483,,0,200,SF6,0.19224058091640472,JOLLEY LIVING TRUST,YES,1461 SURF WAY,,RENO,NV,89503,"DOWDY, JUDY",   -   -,SIERRA HEIGHTS RENO 5A LT 25 BLK D,1000,1,BCAC
001-132-18,,1455 SURF WAY,04/30/2013,190190,2D  ,4231848,SIERRA HEIGHTS RENO 5A,1965,1968,Sgl Fam Res ,TWO STORY,1890,Fair,4,3,0,FA/AC,HARDBOARD/FR,COMP SHINGLE,BUILT-IN,331,,0,200,SF6,0.18549127876758575,"DURR, JASON et al",YES,1455 SURF WAY,,RENO ,NV,89503,"ZERNICKE 1995 TRUST, FRANCES J",   -   -,SIERRA HEIGHTS RENO 5A LT 27 BLK D,1000,1,BCAC
001-133-10,,1480 HELM CIR,02/06/2013,154900,2D  ,4202560,SIERRA HEIGHTS RENO 5A,1965,1965,Sgl Fam Res ,SPLIT LEVEL,1695,Fair,3,3,0,FA,ASPH SHNG/FR,COMP SHINGLE,ATTACHED,277,,0,200,SF6,0.1982552856206894,"HELLER, PAUL A",NO,1480 HELM CIR,,RENO,NV,89503,"DUCLAYAN, SEAN & MISTY",   -   -,SIERRA HEIGHTS RENO 5A LT 10 BLK E,1000,1,BCAC
001-133-20,,1385 TIOGA WAY,06/18/2013,160000,2D  ,4249080,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SINGLE STORY,1354,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,420,,0,200,SF6,0.2517906427383423,"BLAIR, MASON E",NO,1385 TIOGA WAY,,RENO,NV,89503,"PETERS, AUSTIN J",   -   -,SIERRA HEIGHTS RENO 5A LT 20 BLK E,1000,1,BCAC
001-133-21,,1381 TIOGA WAY,03/05/2013,140000,2D  ,4211396,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SINGLE STORY,1176,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,441,,0,200,SF6,0.1637052297592163,"CELLUCCI TRUST, SABRINA A",YES,1381 TIOGA WAY,,RENO,NV,89503,"BISSETT, RICHARD T",   -   -,SIERRA HEIGHTS RENO 5A LT 21 BLK E,1000,1,BCAC
001-133-22,,1379 TIOGA WAY,04/18/2013,111000,2D  ,4227455,SIERRA HEIGHTS RENO 5A,1966,1968,Sgl Fam Res ,SINGLE STORY,1476,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,441,,0,200,SF6,0.13820017874240875,"NORTHAM, TRACY & LISA",NO,17 RIDGELINE CT,,OROVILLE,CA,95966,"HIRSCHY, JEANNETTE",   -   -,SIERRA HEIGHTS RENO 5A LT 22 BLK E,1000,1,BCAC
001-133-22,,1379 TIOGA WAY,01/17/2013,111000,2D  ,4195885,SIERRA HEIGHTS RENO 5A,1966,1968,Sgl Fam Res ,SINGLE STORY,1476,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,441,,0,200,SF6,0.13820017874240875,"NORTHAM, TRACY & LISA",NO,17 RIDGELINE CT,,OROVILLE,CA,95966,"HIRSCHY, JEANNETTE",   -   -,SIERRA HEIGHTS RENO 5A LT 22 BLK E,1000,1,BCAC
001-133-22,,1379 TIOGA WAY,04/19/2013,162500,2D  ,4227979,SIERRA HEIGHTS RENO 5A,1966,1968,Sgl Fam Res ,SINGLE STORY,1476,Fair,3,2,0,FA,HARDBOARD/FR,COMP SHINGLE,ATTACHED,441,,0,200,SF6,0.13820017874240875,"NORTHAM, TRACY & LISA",NO,17 RIDGELINE CT,,OROVILLE,CA,95966,"HIRSCHY, JEANNETTE",   -   -,SIERRA HEIGHTS RENO 5A LT 22 BLK E,1000,1,BCAC
001-135-12,,3445 KINGS ROW ,01/29/2013,153400,2D  ,4199394,SIERRA HEIGHTS RENO 5A,1966,1967,Sgl Fam Res ,SINGLE STORY,1746,Fair,4,2,0,FA,SIDING/FR,COMP SHINGLE,ATTACHED,420,,0,200,SF6,0.19120752811431885,TAH 2015-1 BORROWER LLC,NO,PO BOX 6660,,FOLSOM,CA,95763,TAH 2015-1 EQUITY OWNER LLC,   -   -,SIERRA HEIGHTS RENO 5A LT 12 BLK F,1000,1,BCAC
001-136-02,,1390 RAYBURN DR,08/29/2013,185000,2D  ,4274394,SIERRA HEIGHTS RENO 5A,1966,1966,Sgl Fam Res ,SINGLE STORY,1237,Fair,3,2,0,FA,ASPH SHNG/FR,COMP SHINGLE,ATTACHED,432,,0,200,SF6,0.16251148283481598,"MEYER, NICHOLAS E et al",YES,1390 RAYBURN DR,,RENO,NV,89503-2015,"DOLENCE, CATHERINE J",   -   -,SIERRA HEIGHTS RENO 5A LT 2 BLK G,1000,1,BCAC
